timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771271926337,377,purchase Request,200,OK,Soak Testing Group 3-5,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,363,0,0
1771271926392,348,Reserve Request,200,OK,Soak Testing Group 3-21,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,338,0,0
1771271926413,349,purchase Request,200,OK,Soak Testing Group 3-40,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,343,0,0
1771271926410,352,Reserve Request,200,OK,Soak Testing Group 3-39,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,346,0,0
1771271926469,317,conformation Request,200,OK,Soak Testing Group 3-35,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,302,0,0
1771271926482,307,Reserve Request,200,OK,Soak Testing Group 3-12,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,289,0,0
1771271926494,299,conformation Request,200,OK,Soak Testing Group 3-8,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,285,0,0
1771271926452,343,Reserve Request,200,OK,Soak Testing Group 3-11,text,true,,7353,226,40,40,https://blazedemo.com/reserve.php,324,0,0
1771271926384,411,Reserve Request,200,OK,Soak Testing Group 3-26,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,402,0,0
1771271926515,283,Reserve Request,200,OK,Soak Testing Group 3-29,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,276,0,0
1771271926405,395,Reserve Request,200,OK,Soak Testing Group 3-23,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,386,0,0
1771271926444,370,Reserve Request,200,OK,Soak Testing Group 3-2,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,356,0,0
1771271926517,299,Reserve Request,200,OK,Soak Testing Group 3-37,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,283,0,0
1771271926410,409,purchase Request,200,OK,Soak Testing Group 3-28,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,402,0,0
1771271926419,400,Reserve Request,200,OK,Soak Testing Group 3-4,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,382,0,0
1771271926442,377,conformation Request,200,OK,Soak Testing Group 3-18,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,377,0,0
1771271926530,302,conformation Request,200,OK,Soak Testing Group 3-25,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,298,0,0
1771271926543,314,purchase Request,200,OK,Soak Testing Group 3-6,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,299,0,0
1771271926530,327,purchase Request,200,OK,Soak Testing Group 3-31,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,313,0,0
1771271926559,302,purchase Request,200,OK,Soak Testing Group 3-14,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,290,0,0
1771271926541,321,purchase Request,200,OK,Soak Testing Group 3-30,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,308,0,0
1771271926557,324,conformation Request,200,OK,Soak Testing Group 3-9,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,304,0,0
1771271926537,344,Reserve Request,200,OK,Soak Testing Group 3-36,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,330,0,0
1771271926572,325,purchase Request,200,OK,Soak Testing Group 3-32,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,309,0,0
1771271926594,304,purchase Request,200,OK,Soak Testing Group 3-13,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,303,0,0
1771271926638,291,conformation Request,200,OK,Soak Testing Group 3-24,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,283,0,0
1771271926595,341,conformation Request,200,OK,Soak Testing Group 3-15,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,334,0,0
1771271926618,318,conformation Request,200,OK,Soak Testing Group 3-20,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,308,0,0
1771271926563,379,Reserve Request,200,OK,Soak Testing Group 3-10,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,372,0,0
1771271926572,377,conformation Request,200,OK,Soak Testing Group 3-3,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,368,0,0
1771271926594,369,purchase Request,200,OK,Soak Testing Group 3-1,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,360,0,0
1771271926628,335,purchase Request,200,OK,Soak Testing Group 3-33,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,325,0,0
1771271926645,331,conformation Request,200,OK,Soak Testing Group 3-34,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,314,0,0
1771271926640,339,conformation Request,200,OK,Soak Testing Group 3-19,text,true,,5784,381,40,40,https://blazedemo.com/confirmation.php,337,0,0
1771271926637,345,Reserve Request,200,OK,Soak Testing Group 3-7,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,340,0,0
1771271926663,329,conformation Request,200,OK,Soak Testing Group 3-16,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,319,0,0
1771271926714,285,conformation Request,200,OK,Soak Testing Group 3-5,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,278,0,0
1771271926685,332,purchase Request,200,OK,Soak Testing Group 3-27,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,322,0,0
1771271926708,309,Reserve Request,200,OK,Soak Testing Group 3-38,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,299,0,0
1771271926740,289,purchase Request,200,OK,Soak Testing Group 3-21,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,278,0,0
1771271926694,338,conformation Request,200,OK,Soak Testing Group 3-17,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,329,0,0
1771271926762,335,purchase Request,200,OK,Soak Testing Group 3-39,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,331,0,0
1771271926793,304,Reserve Request,200,OK,Soak Testing Group 3-8,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,302,0,0
1771271926795,310,purchase Request,200,OK,Soak Testing Group 3-11,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,302,0,0
1771271926762,344,conformation Request,200,OK,Soak Testing Group 3-40,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,336,0,0
1771271926795,311,purchase Request,200,OK,Soak Testing Group 3-26,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,303,0,0
1771271926790,317,purchase Request,200,OK,Soak Testing Group 3-12,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,310,0,0
1771271926814,307,purchase Request,200,OK,Soak Testing Group 3-2,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,303,0,0
1771271926816,326,purchase Request,200,OK,Soak Testing Group 3-37,text,true,,6719,278,40,40,https://blazedemo.com/purchase.php,321,0,0
1771271926819,331,conformation Request,200,OK,Soak Testing Group 3-28,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,323,0,0
1771271926819,345,Reserve Request,200,OK,Soak Testing Group 3-18,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,330,0,0
1771271926786,379,Reserve Request,200,OK,Soak Testing Group 3-35,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,364,0,0
1771271926819,347,purchase Request,200,OK,Soak Testing Group 3-4,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,336,0,0
1771271926857,310,conformation Request,200,OK,Soak Testing Group 3-6,text,true,,5784,381,40,40,https://blazedemo.com/confirmation.php,308,0,0
1771271926862,343,conformation Request,200,OK,Soak Testing Group 3-30,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,324,0,0
1771271926861,357,conformation Request,200,OK,Soak Testing Group 3-14,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,335,0,0
1771271926898,322,conformation Request,200,OK,Soak Testing Group 3-13,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,305,0,0
1771271926798,424,purchase Request,200,OK,Soak Testing Group 3-29,text,true,,6719,278,40,40,https://blazedemo.com/purchase.php,420,0,0
1771271926800,422,purchase Request,200,OK,Soak Testing Group 3-23,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,419,0,0
1771271926881,356,purchase Request,200,OK,Soak Testing Group 3-36,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,343,0,0
1771271926832,405,Reserve Request,200,OK,Soak Testing Group 3-25,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,390,0,0
1771271926929,310,Reserve Request,200,OK,Soak Testing Group 3-24,text,true,,7353,226,40,40,https://blazedemo.com/reserve.php,296,0,0
1771271926881,360,Reserve Request,200,OK,Soak Testing Group 3-9,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,358,0,0
1771271926936,307,Reserve Request,200,OK,Soak Testing Group 3-15,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,305,0,0
1771271926897,346,conformation Request,200,OK,Soak Testing Group 3-32,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,345,0,0
1771271926936,342,Reserve Request,200,OK,Soak Testing Group 3-20,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,342,0,0
1771271926378,901,conformation Request,200,OK,Soak Testing Group 3-22,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,901,0,0
1771271926963,325,conformation Request,200,OK,Soak Testing Group 3-1,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,315,0,0
1771271926949,339,Reserve Request,200,OK,Soak Testing Group 3-3,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,329,0,0
1771271926982,319,purchase Request,200,OK,Soak Testing Group 3-7,text,true,,6719,278,40,40,https://blazedemo.com/purchase.php,297,0,0
1771271926992,310,Reserve Request,200,OK,Soak Testing Group 3-16,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,297,0,0
1771271927029,276,conformation Request,200,OK,Soak Testing Group 3-21,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,275,0,0
1771271926963,359,conformation Request,200,OK,Soak Testing Group 3-33,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,349,0,0
1771271926857,477,conformation Request,200,OK,Soak Testing Group 3-31,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,470,0,0
1771271926999,353,Reserve Request,200,OK,Soak Testing Group 3-5,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,347,0,0
1771271926976,386,Reserve Request,200,OK,Soak Testing Group 3-34,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,376,0,0
1771271927017,379,conformation Request,200,OK,Soak Testing Group 3-27,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,363,0,0
1771271927032,370,Reserve Request,200,OK,Soak Testing Group 3-17,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,346,0,0
1771271927107,296,Reserve Request,200,OK,Soak Testing Group 3-40,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,286,0,0
1771271927105,299,conformation Request,200,OK,Soak Testing Group 3-11,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,297,0,0
1771271927097,315,conformation Request,200,OK,Soak Testing Group 3-39,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,307,0,0
1771271927107,306,conformation Request,200,OK,Soak Testing Group 3-12,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,302,0,0
1771271927097,319,purchase Request,200,OK,Soak Testing Group 3-8,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,312,0,0
1771271926979,443,Reserve Request,200,OK,Soak Testing Group 3-19,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,434,0,0
1771271927107,318,conformation Request,200,OK,Soak Testing Group 3-26,text,true,,5780,381,40,40,https://blazedemo.com/confirmation.php,310,0,0
1771271927150,284,Reserve Request,200,OK,Soak Testing Group 3-28,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,276,0,0
1771271926942,499,purchase Request,200,OK,Soak Testing Group 3-10,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,490,0,0
1771271927017,444,purchase Request,200,OK,Soak Testing Group 3-38,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,437,0,0
1771271927165,299,purchase Request,200,OK,Soak Testing Group 3-35,text,true,,6715,278,40,40,https://blazedemo.com/purchase.php,294,0,0
1771271927167,297,Reserve Request,200,OK,Soak Testing Group 3-6,text,true,,7349,226,40,40,https://blazedemo.com/reserve.php,282,0,0
